treatdsvar2	q2dm1wgt	q2dm2wgt	q2dm3wgt	q2dm4wgt	q2dm5wgt	q2rightloc1p1	q2rightloc1p2	q2rightloc1p3	q2rightloc1p4	q2rightloc1p5
1	0.38	0.21	0.17	0.13	0.11	7.15	10.0	16	17.15	17.15
2	0.38	0.21	0.17	0.11	0.13	7.29	10.0	16	17.29	17.29
3	0.38	0.21	0.13	0.17	0.11	7.35	10.0	16	17.35	17.35
4	0.38	0.21	0.13	0.11	0.17	7.77	10.0	16	17.77	17.77
5	0.38	0.21	0.11	0.17	0.13	7.59	10.0	16	17.59	17.59
6	0.38	0.21	0.11	0.13	0.17	7.87	10.0	16	17.87	17.87
7	0.38	0.17	0.21	0.13	0.11	7.39	10.0	16	17.39	17.39
8	0.38	0.17	0.21	0.11	0.13	7.53	10.0	16	17.53	17.53
9	0.38	0.17	0.13	0.21	0.11	7.79	10.0	16	17.79	17.79
10	0.38	0.17	0.13	0.11	0.21	8.49	10.0	16	18.49	18.49
11	0.38	0.17	0.11	0.21	0.13	8.03	10.0	16	18.03	18.03
12	0.38	0.17	0.11	0.13	0.21	8.59	10.0	16	18.59	18.59
13	0.38	0.13	0.21	0.17	0.11	7.83	10.0	16	17.83	17.83
14	0.38	0.13	0.21	0.11	0.17	8.25	10.0	16	18.25	18.25
15	0.38	0.13	0.17	0.21	0.11	8.03	10.0	16	18.03	18.03
16	0.38	0.13	0.17	0.11	0.21	8.73	10.0	16	18.73	18.73
17	0.38	0.13	0.11	0.21	0.17	8.75	10.0	16	18.75	18.75
18	0.38	0.13	0.11	0.17	0.21	9.03	10.0	16	19.03	19.03
19	0.38	0.11	0.21	0.17	0.13	8.19	10.0	16	18.19	18.19
20	0.38	0.11	0.21	0.13	0.17	8.47	10.0	16	18.47	18.47
21	0.38	0.11	0.17	0.21	0.13	8.39	10.0	16	18.39	18.39
22	0.38	0.11	0.17	0.13	0.21	8.95	10.0	16	18.95	18.95
23	0.38	0.11	0.13	0.21	0.17	8.87	10.0	16	18.87	18.87
24	0.38	0.11	0.13	0.17	0.21	9.15	10.0	16	19.15	19.15
25	0.21	0.38	0.17	0.13	0.11	8.17	10.0	16	18.17	18.17
26	0.21	0.38	0.17	0.11	0.13	8.31	10.0	16	18.31	18.31
27	0.21	0.38	0.13	0.17	0.11	8.37	10.0	16	18.37	18.37
28	0.21	0.38	0.13	0.11	0.17	8.79	10.0	16	18.79	18.79
29	0.21	0.38	0.11	0.17	0.13	8.61	10.0	16	18.61	18.61
30	0.21	0.38	0.11	0.13	0.17	8.89	10.0	16	18.89	18.89
31	0.21	0.17	0.38	0.13	0.11	9.43	10.0	16	19.43	19.43
32	0.21	0.17	0.38	0.11	0.13	9.57	10.0	16	19.57	19.57
